Date,Price
2020-04-21 17:12:36.445963,6880.323242
2020-04-22 17:12:36.445963,7117.20752
2020-04-23 17:12:36.445963,7429.724609
2020-04-24 17:12:36.445963,7550.900879
2020-04-25 17:12:36.445963,7569.936035
2020-04-26 17:12:36.445963,7679.867188
2020-04-27 17:12:36.445963,7795.601074
2020-04-28 17:12:36.445963,7807.058594
2020-04-29 17:12:36.445963,8801.038086
2020-04-30 17:12:36.445963,8658.553711
2020-05-01 17:12:36.445963,8864.766602
2020-05-02 17:12:36.445963,8988.59668
2020-05-03 17:12:36.445963,8897.46875
2020-05-04 17:12:36.445963,8912.654297
2020-05-05 17:12:36.445963,9003.070313
2020-05-06 17:12:36.445963,9268.761719
2020-05-07 17:12:36.445963,9951.518555
2020-05-08 17:12:36.445963,9842.666016
2020-05-09 17:12:36.445963,9593.896484
2020-05-10 17:12:36.445963,8756.430664
2020-05-11 17:12:36.445963,8601.795898
2020-05-12 17:12:36.445963,8804.477539
2020-05-13 17:12:36.445963,9269.987305
2020-05-14 17:12:36.445963,9733.72168
2020-05-15 17:12:36.445963,9328.197266
2020-05-16 17:12:36.445963,9377.013672
2020-05-17 17:12:36.445963,9670.739258
2020-05-18 17:12:36.445963,9726.575195
2020-05-19 17:12:36.445963,9729.038086
2020-05-20 17:12:36.445963,9522.981445
2020-05-21 17:12:36.445963,9081.761719
2020-05-22 17:12:36.445963,9182.577148
2020-05-23 17:12:36.445963,9209.287109
2020-05-24 17:12:36.445963,8790.368164
2020-05-25 17:12:36.445963,8906.93457
2020-05-26 17:12:36.445963,8835.052734
2020-05-27 17:12:36.445963,9181.017578
2020-05-28 17:12:36.445963,9525.750977
2020-05-29 17:12:36.445963,9439.124023
2020-05-30 17:12:36.445963,9700.414063
2020-05-31 17:12:36.445963,9461.058594
2020-06-01 17:12:36.445963,10167.26856
2020-06-02 17:12:36.445963,9529.803711
2020-06-03 17:12:36.445963,9656.717773
2020-06-04 17:12:36.445963,9800.636719
2020-06-05 17:12:36.445963,9665.533203
2020-06-06 17:12:36.445963,9653.679688
2020-06-07 17:12:36.445963,9758.852539
2020-06-08 17:12:36.445963,9771.489258
2020-06-09 17:12:36.445963,9795.700195
2020-06-10 17:12:36.445963,9870.094727
2020-06-11 17:12:36.445963,9321.78125
2020-06-12 17:12:36.445963,9480.84375
2020-06-13 17:12:36.445963,9475.277344
2020-06-14 17:12:36.445963,9386.788086
2020-06-15 17:12:36.445963,9450.702148
2020-06-16 17:12:36.445963,9538.024414
2020-06-17 17:12:36.445963,9480.254883
2020-06-18 17:12:36.445963,9411.84082
2020-06-19 17:12:36.445963,9288.018555
2020-06-20 17:12:36.445963,9332.34082
2020-06-21 17:12:36.445963,9303.629883
2020-06-22 17:12:36.445963,9648.717773
2020-06-23 17:12:36.445963,9629.658203
2020-06-24 17:12:36.445963,9313.610352
2020-06-25 17:12:36.445963,9264.813477
2020-06-26 17:12:36.445963,9162.917969
2020-06-27 17:12:36.445963,9045.390625
2020-06-28 17:12:36.445963,9143.582031
2020-06-29 17:12:36.445963,9190.854492
2020-06-30 17:12:36.445963,9137.993164
2020-07-01 17:12:36.445963,9228.325195
2020-07-02 17:12:36.445963,9123.410156
2020-07-03 17:12:36.445963,9087.303711
2020-07-04 17:12:36.445963,9132.488281
2020-07-05 17:12:36.445963,9073.942383
2020-07-06 17:12:36.445963,9375.474609
2020-07-07 17:12:36.445963,9252.277344
2020-07-08 17:12:36.445963,9428.333008
2020-07-09 17:12:36.445963,9277.967773
2020-07-10 17:12:36.445963,9278.807617
2020-07-11 17:12:36.445963,9240.34668
2020-07-12 17:12:36.445963,9276.5
2020-07-13 17:12:36.445963,9243.614258
2020-07-14 17:12:36.445963,9243.213867
2020-07-15 17:12:36.445963,9192.836914
2020-07-16 17:12:36.445963,9132.227539
2020-07-17 17:12:36.445963,9151.392578
2020-07-18 17:12:36.445963,9159.040039
2020-07-19 17:12:36.445963,9185.817383
2020-07-20 17:12:36.445963,9164.231445
2020-07-21 17:12:36.445963,9374.887695
2020-07-22 17:12:36.445963,9525.363281
2020-07-23 17:12:36.445963,9581.072266
2020-07-24 17:12:36.445963,9536.892578
2020-07-25 17:12:36.445963,9677.113281
2020-07-26 17:12:36.445963,9905.166992
2020-07-27 17:12:36.445963,10990.87305
2020-07-28 17:12:36.445963,10912.82324
2020-07-29 17:12:36.445963,11100.46777
2020-07-30 17:12:36.445963,11111.21387
2020-07-31 17:12:36.445963,11323.4668
2020-08-01 17:12:36.445963,11759.59277
2020-08-02 17:12:36.445963,11053.61426
2020-08-03 17:12:36.445963,11246.34863
2020-08-04 17:12:36.445963,11246.34863
2020-08-05 17:12:36.445963,11747.02246
2020-08-06 17:12:36.445963,11779.77344
2020-08-07 17:12:36.445963,11601.47266
2020-08-08 17:12:36.445963,11754.0459
2020-08-09 17:12:36.445963,11675.73926
2020-08-10 17:12:36.445963,11878.11133
2020-08-11 17:12:36.445963,11410.52539
2020-08-12 17:12:36.445963,11584.93457
2020-08-13 17:12:36.445963,11784.1377
2020-08-14 17:12:36.445963,11768.87109
2020-08-15 17:12:36.445963,11865.69824
2020-08-16 17:12:36.445963,11892.80371
2020-08-17 17:12:36.445963,12254.40234
2020-08-18 17:12:36.445963,11991.2334
2020-08-19 17:12:36.445963,11758.2832
2020-08-20 17:12:36.445963,11878.37207
2020-08-21 17:12:36.445963,11592.48926
2020-08-22 17:12:36.445963,11681.8252
2020-08-23 17:12:36.445963,11664.84766
2020-08-24 17:12:36.445963,11774.5957
2020-08-25 17:12:36.445963,11366.13477
2020-08-26 17:12:36.445963,11488.36328
2020-08-27 17:12:36.445963,11323.39746
2020-08-28 17:12:36.445963,11542.5
2020-08-29 17:12:36.445963,11506.86523
2020-08-30 17:12:36.445963,11711.50586
2020-08-31 17:12:36.445963,11680.82031
2020-09-01 17:12:36.445963,11970.47852
2020-09-02 17:12:36.445963,11414.03418
2020-09-03 17:12:36.445963,10245.29688
2020-09-04 17:12:36.445963,10511.81348
2020-09-05 17:12:36.445963,10169.56738
2020-09-06 17:12:36.445963,10280.35156
2020-09-07 17:12:36.445963,10369.56348
2020-09-08 17:12:36.445963,10131.5166
2020-09-09 17:12:36.445963,10242.34766
2020-09-10 17:12:36.445963,10363.13867
2020-09-11 17:12:36.445963,10400.91504
2020-09-12 17:12:36.445963,10442.1709
2020-09-13 17:12:36.445963,10323.75586
2020-09-14 17:12:36.445963,10680.83789
2020-09-15 17:12:36.445963,10796.95117
2020-09-16 17:12:36.445963,10974.90527
2020-09-17 17:12:36.445963,10948.99023
2020-09-18 17:12:36.445963,10944.58594
2020-09-19 17:12:36.445963,11094.34668
2020-09-20 17:12:36.445963,10938.27148
2020-09-21 23:11:52.525473,10516.0
